month,Automotive,value
2011-01,Accessories,5
2011-01,Air Bag Scan Tools & Simulators,3
2011-01,Backup Monitors & Alarms,17
2011-01,Battery Chargers,1
2011-01,Cleaners,1
2011-01,Code Readers & Scan Tools,82
2011-01,Disc Storage Wallets,5
2011-01,Electronics,1
2011-01,Escape Tools,6
2011-01,Frames,3
2011-01,Ignition Testers,3
2011-01,Insulation,7
2011-01,Insulation & Noise Control,7
2011-01,Replacement Sensors,3
2011-01,Tire Care,1
2011-01,Tire Repair Kits,2
2011-01,Tire Repair Tools,2
2011-01,Touchup Paint,1
2011-01,Vehicle Accessories,1
2011-01,Wiring Harnesses,10
2011-02,Accessories,3
2011-02,Air Bag Scan Tools & Simulators,6
2011-02,Backup Monitors & Alarms,11
2011-02,Car,2
2011-02,Code Readers & Scan Tools,72
2011-02,Disc Storage Wallets,3
2011-02,Electronics,2
2011-02,Escape Tools,1
2011-02,Frames,4
2011-02,Hubcaps,2
2011-02,Ignition Testers,6
2011-02,Insulation,5
2011-02,Insulation & Noise Control,5
2011-02,Oxygen,2
2011-02,Radio Accessories,1
2011-02,Replacement Sensors,1
2011-02,Stem Caps,2
2011-02,Tire Repair Tools,1
2011-02,Tire Valve Tools,1
2011-02,Wiring Harnesses,6
2011-03,Accessories,5
2011-03,Air Bag Scan Tools & Simulators,2
2011-03,Backup Monitors & Alarms,21
2011-03,Car,1
2011-03,Cleaners,1
2011-03,Code Readers & Scan Tools,63
2011-03,Digital Tire Pressure Gauges,2
2011-03,Disc Storage Wallets,4
2011-03,Electronics,1
2011-03,Escape Tools,1
2011-03,Frames,6
2011-03,Ignition Testers,2
2011-03,Insulation,15
2011-03,Insulation & Noise Control,15
2011-03,Replacement Sensors,6
2011-03,Tire Care,1
2011-03,Tire Gauges,1
2011-03,Tire Repair Kits,2
2011-03,Tire Repair Tools,5
2011-03,Touchup Paint,1
2011-03,Wiring Harnesses,9
2011-04,Accessories,5
2011-04,Air Bag Scan Tools & Simulators,6
2011-04,Backup Monitors & Alarms,17
2011-04,Battery Chargers,3
2011-04,Car,2
2011-04,Cleaners,2
2011-04,Code Readers & Scan Tools,62
2011-04,Disc Storage Wallets,3
2011-04,Electronics,1
2011-04,Escape Tools,4
2011-04,Frames,2
2011-04,Ignition Testers,6
2011-04,Insulation,8
2011-04,Insulation & Noise Control,8
2011-04,Radio Accessories,1
2011-04,Replacement Sensors,1
2011-04,Stem Caps,3
2011-04,Tire Care,1
2011-04,Tire Repair Kits,1
2011-04,Tire Repair Tools,1
2011-04,Wheel Care,1
2011-04,Wiring Harnesses,7
2011-05,Accessories,1
2011-05,Air Bag Scan Tools & Simulators,7
2011-05,Backup Monitors & Alarms,17
2011-05,Battery Chargers,4
2011-05,Cleaners,1
2011-05,Code Readers & Scan Tools,74
2011-05,Complete Kits,1
2011-05,Covers,1
2011-05,Dash Covers,1
2011-05,Digital Tire Pressure Gauges,1
2011-05,Disc Storage Wallets,4
2011-05,Escape Tools,4
2011-05,Frames,1
2011-05,Heat Shields,1
2011-05,Ignition Testers,7
2011-05,Insulation,13
2011-05,Insulation & Noise Control,13
2011-05,Oxygen,1
2011-05,Replacement Sensors,3
2011-05,Stem Caps,1
2011-05,Tire Repair Tools,1
2011-05,Touchup Paint,2
2011-05,Waxes,1
2011-05,Wheel Care,1
2011-05,Wiring Harnesses,6
2011-06,Accessories,3
2011-06,Air Bag Scan Tools & Simulators,4
2011-06,Air Compressors & Inflators,1
2011-06,Backup Monitors & Alarms,17
2011-06,Batteries,1
2011-06,Battery Chargers,1
2011-06,Car,3
2011-06,Cleaners,2
2011-06,Code Readers & Scan Tools,78
2011-06,Digital Tire Pressure Gauges,1
2011-06,Disc Storage Wallets,2
2011-06,Escape Tools,2
2011-06,Frames,4
2011-06,Ignition Testers,4
2011-06,Insulation,14
2011-06,Insulation & Noise Control,14
2011-06,Replacement Sensors,1
2011-06,Stem Caps,3
2011-06,Tire Care,1
2011-06,Tire Repair Kits,1
2011-06,Tire Repair Tools,3
2011-06,Tire Valve Tools,1
2011-06,Vehicle Accessories,2
2011-06,Waxes,3
2011-06,Wiring Harnesses,7
2011-07,Accessories,5
2011-07,Air Bag Scan Tools & Simulators,5
2011-07,Backup Monitors & Alarms,18
2011-07,Battery Chargers,5
2011-07,Car,2
2011-07,Cleaners,2
2011-07,Code Readers & Scan Tools,70
2011-07,Covers,1
2011-07,Disc Storage Wallets,1
2011-07,Frames,5
2011-07,Gas Tank Protectors,1
2011-07,Hubcaps,1
2011-07,Ignition Testers,5
2011-07,Insulation,13
2011-07,Insulation & Noise Control,13
2011-07,Replacement Sensors,2
2011-07,Stem Caps,2
2011-07,Tire Gauges,4
2011-07,Tire Repair Kits,1
